Country Name,Power Index,Available Manpower,Purchasing Power Parity,Defense Budget,Active Personnel,Reserve Personnel,Air Force Personnel,Army Personnel,Navy Personnel,Aircraft Total,Attack,Fighters,Transport,Helicopters,Special-Mission,Trainers,Attack Helicopters,Tanker,Naval Assets,Aircraft Carriers,Helicopter Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Tanks,Self-Propelled Artillery,Towed Artillery,Rocket Artillery,External Debt
Afghanistan,2.7342,"15,647,405","$82,238,000,000 USD","$145,000,000 USD","75,000",0,0,"165,000",0,5,0 (0.0%),0 (0.0%),2 (40.0%),3 (60.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$1,929,750,000 USD"
Albania,1.7258,"1,522,479","$51,360,000,000 USD","$720,037,190 USD","7,500",0,650,"2,335","1,000",20,0 (0.0%),0 (0.0%),1 (5.0%),19 (95.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),33,0,0,0,0,0,0,33,0,0,10,0,270,"$5,363,000,000 USD"
Algeria,0.4849,"22,570,787","$722,912,000,000 USD","$25,000,000,000 USD","130,000","150,000","14,000","280,000","15,000",620,42 (6.8%),111 (17.9%),63 (10.2%),300 (48.4%),10 (1.6%),90 (14.5%),74 (11.9%),4 (0.6%),111,0,0,0,8,8,6,75,3,"1,485",224,483,188,"$4,764,000,000 USD"
Angola,1.1045,"7,440,412","$278,239,000,000 USD","$31,200,000,000 USD","107,000",0,"6,000","100,000","1,500",278,6 (2.2%),67 (24.1%),32 (11.5%),115 (41.4%),2 (0.7%),56 (20.1%),14 (5.0%),0 (0.0%),32,0,0,0,0,0,0,32,0,319,25,575,116,"$45,299,000,000 USD"
Argentina,0.5983,"20,677,529","$1,213,000,000,000 USD","$993,919,790 USD","108,000","12,370","14,000","108,000","18,370",241,11 (4.6%),23 (9.5%),25 (10.4%),96 (39.8%),13 (5.4%),71 (29.5%),0 (0.0%),2 (0.8%),42,0,0,3,0,6,2,13,0,362,20,172,27,"$74,362,000,000 USD"
Armenia,2.2016,"1,666,988","$60,909,000,000 USD","$1,480,000,000 USD","65,000","210,000","5,000","65,000",0,69,14 (20.3%),4 (5.8%),3 (4.3%),36 (52.2%),0 (0.0%),12 (17.4%),20 (29.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,104,193,100,"$6,002,000,000 USD"
Australia,0.3208,"11,242,811","$1,635,000,000,000 USD","$57,350,000,000 USD","58,910","33,270","21,584","44,235","20,607",348,71 (20.4%),24 (6.9%),37 (10.6%),72 (20.7%),31 (8.9%),107 (30.7%),22 (6.3%),6 (1.7%),45,0,2,3,7,0,6,13,3,46,0,48,8,"$3,770,254,730,000 USD"
Austria,1.3759,"4,035,592","$581,131,000,000 USD","$6,103,900,800 USD","25,000","125,600","4,300","141,000",0,90,0 (0.0%),15 (16.7%),11 (12.2%),41 (45.6%),0 (0.0%),23 (25.6%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,30,0,0,"$693,000,000,000 USD"
Azerbaijan,1.1991,"5,218,617","$225,198,000,000 USD","$5,100,000,000 USD","128,000","306,000","15,000","110,000","3,000",159,20 (12.6%),12 (7.5%),4 (2.5%),87 (54.7%),0 (0.0%),36 (22.6%),16 (10.1%),0 (0.0%),32,0,0,0,0,0,4,17,4,"1,354",135,651,696,"$12,378,000,000 USD"
Bahrain,1.6731,"846,120","$93,937,000,000 USD","$997,015,509 USD","18,400","110,000","1,500","130,000",700,137,0 (0.0%),28 (20.4%),3 (2.2%),66 (48.2%),0 (0.0%),40 (29.2%),34 (24.8%),0 (0.0%),64,0,0,0,2,2,0,50,0,150,38,26,18,"$54,450,000,000 USD"
